RRBFTH1T1 4613 NaN NaN NaN 4759 NaN NaN NaN 4518 NaN NaN NaN 4791 NaN NaN NaN 4494 NaN NaN NaN
RRBFTH1T2 4746 NaN NaN NaN 5335 NaN NaN NaN 6661 NaN NaN NaN 5358 NaN NaN NaN 4416 NaN NaN NaN
RRBFTH1T3 5255 NaN NaN NaN 3969 NaN NaN NaN 4593 NaN NaN NaN 5084 NaN NaN NaN 5170 NaN NaN NaN
RRBFTH1T4 4567 NaN NaN NaN 3940 NaN NaN NaN 5329 NaN NaN NaN 5155 NaN NaN NaN 5138 NaN NaN NaN
RRBFTH1T5 5297 NaN NaN NaN 5215 NaN NaN NaN 11459 NaN NaN NaN 6558 NaN NaN NaN 5107 NaN NaN NaN
RRBFTH2T1 6082 9600 NaN NaN 8654 8373 NaN NaN 6608 9835 NaN NaN 6887 8316 NaN NaN 4257 9770 NaN NaN
RRBFTH2T2 6891 9808 NaN NaN 6926 8358 NaN NaN 6455 10340 NaN NaN 8073 9244 NaN NaN 6814 9513 NaN NaN
RRBFTH2T3 8373 9389 NaN NaN 6786 8172 NaN NaN 9965 9516 NaN NaN 6401 8498 NaN NaN 9562 9819 NaN NaN
RRBFTH2T4 8648 10539 NaN NaN 6329 7123 NaN NaN 8416 10078 NaN NaN 7873 9216 NaN NaN 9641 9853 NaN NaN
RRBFTH2T5 4733 8152 NaN NaN 5709 8913 NaN NaN 6648 9504 NaN NaN 7314 8728 NaN NaN 7728 9236 NaN NaN
RRBFTH3T1 4065 9216 10021 NaN 5417 5720 8217 NaN 5216 8309 9919 NaN 5233 4951 8431 NaN 4977 8353 9560 NaN
RRBFTH3T2 14170 4728 9590 NaN 4586 5766 8158 NaN 32457 4734 7719 NaN 5885 6938 8219 NaN 5010 8710 7840 NaN
RRBFTH3T3 5826 6802 10014 NaN 4727 6087 5428 NaN 6946 7795 8439 NaN 6653 6445 8953 NaN 5288 6247 9617 NaN
RRBFTH3T4 32365 4614 7029 NaN 7823 5790 8085 NaN 4974 7459 9631 NaN 5574 5870 8765 NaN 5806 6174 9106 NaN
RRBFTH3T5 31828 5673 7534 NaN 2463 5542 8592 NaN 4165 5937 8978 NaN 6090 4458 8542 NaN 27880 4522 9302 NaN
RRBFTH4T1 32586 8602 6212 9273 32594 6347 5794 8235 32638 5541 6218 9291 32581 16079 6499 8748 32569 6626 6058 9109
RRBFTH4T2 32563 26453 5296 8837 32640 5028 6410 8382 32602 30849 5691 7910 32555 14089 5903 8546 32593 6577 5122 8938
RRBFTH4T3 32616 5168 6269 9697 32617 5774 5646 8261 32639 4342 5527 9744 32580 11489 5105 8069 32571 9996 5689 8918
RRBFTH4T4 32636 7307 7270 9350 32617 5429 5435 8123 32582 7113 7436 9271 32547 5731 5864 8719 32569 7297 9306 12515
RRBFTH4T5 32579 6927 7503 9014 32618 5450 5856 8059 32597 6198 6921 9801 32597 8680 4048 10626 32569 28834 4577 8746
RWBFTH1T1 225 NaN NaN NaN 270 NaN NaN NaN 299 NaN NaN NaN 74 NaN NaN NaN 141 NaN NaN NaN
RWBFTH1T2 3792 NaN NaN NaN 233 NaN NaN NaN 337 NaN NaN NaN 248 NaN NaN NaN 117 NaN NaN NaN
RWBFTH1T3 1752 NaN NaN NaN 1804 NaN NaN NaN 1545 NaN NaN NaN 2507 NaN NaN NaN 1441 NaN NaN NaN
RWBFTH1T4 490 NaN NaN NaN 224 NaN NaN NaN 346 NaN NaN NaN 137 NaN NaN NaN 106 NaN NaN NaN
RWBFTH1T5 2476 NaN NaN NaN 2116 NaN NaN NaN 2755 NaN NaN NaN 566 NaN NaN NaN 231 NaN NaN NaN
RWBFTH2T1 8382 5206 NaN NaN 5074 14550 NaN NaN 9499 4757 NaN NaN 7325 7352 NaN NaN 9083 4445 NaN NaN
RWBFTH2T2 6406 12895 NaN NaN 7661 5397 NaN NaN 6964 7094 NaN NaN 4374 3454 NaN NaN 7291 5212 NaN NaN
RWBFTH2T3 8562 4756 NaN NaN 10072 7207 NaN NaN 8914 4451 NaN NaN 7725 5136 NaN NaN 8489 4615 NaN NaN
RWBFTH2T4 8357 5838 NaN NaN 8469 4934 NaN NaN 14792 6158 NaN NaN 6261 6720 NaN NaN 7797 4681 NaN NaN
RWBFTH2T5 4669 15037 NaN NaN 6818 5351 NaN NaN 4913 8324 NaN NaN 6326 11504 NaN NaN 6049 5594 NaN NaN
RWBFTH3T1 22785 18882 20563 NaN 8259 16663 12406 NaN 14606 18892 14086 NaN 15762 16627 19027 NaN 19143 20408 20108 NaN
RWBFTH3T2 16208 15669 17156 NaN 23312 20832 21100 NaN 16618 16490 19624 NaN 16970 14333 9655 NaN 8022 10754 9339 NaN
RWBFTH3T3 13786 14081 13115 NaN 15530 12418 13439 NaN 18776 16643 19028 NaN 15010 14040 14202 NaN 19474 17339 13907 NaN
RWBFTH3T4 12814 17672 16277 NaN 15623 16404 14741 NaN 13140 7818 10637 NaN 11024 11669 12531 NaN 16001 17391 15991 NaN
RWBFTH3T5 6956 5990 13525 NaN 7119 6844 9054 NaN 15510 14933 15319 NaN 7871 3074 3524 NaN 12740 13287 9672 NaN
RWBFTH4T1 25727 23496 26726 25233 18499 18925 6088 20506 19399 22224 20188 21867 21856 22482 23115 21798 24057 21161 6220 23686
RWBFTH4T2 22283 23308 6527 23638 22330 24722 24941 23738 23657 21005 24197 24618 24433 22121 25118 24683 24075 25330 23532 25088
RWBFTH4T3 24763 24978 25535 24825 19422 22176 22986 18945 25271 22878 22246 22909 15732 22079 23187 21401 11586 17471 14528 12836
RWBFTH4T4 17533 17966 7232 17235 18140 18655 19199 24143 23806 24966 26432 25865 22334 20920 21974 22017 9763 7950 6729 15058
RWBFTH4T5 22838 4326 24413 22953 12457 10903 5319 13045 15444 12621 3935 12572 14339 9573 13733 12658 20053 20431 21169 20964
SR1VMTH1T1 3063 NaN NaN NaN 2296 NaN NaN NaN 2265 NaN NaN NaN 1555 NaN NaN NaN 2146 NaN NaN NaN
SR1VMTH1T2 4595 NaN NaN NaN 3382 NaN NaN NaN 2002 NaN NaN NaN 4840 NaN NaN NaN 6832 NaN NaN NaN
SR1VMTH1T3 4752 NaN NaN NaN 7114 NaN NaN NaN 4923 NaN NaN NaN 4316 NaN NaN NaN 3239 NaN NaN NaN
SR1VMTH1T4 7281 NaN NaN NaN 1689 NaN NaN NaN 7451 NaN NaN NaN 2873 NaN NaN NaN 1678 NaN NaN NaN
SR1VMTH1T5 6418 NaN NaN NaN 3724 NaN NaN NaN 1813 NaN NaN NaN 3813 NaN NaN NaN 2232 NaN NaN NaN
SR1VMTH2T1 19187 10405 NaN NaN 3362 27975 NaN NaN 2988 26368 NaN NaN 3121 24761 NaN NaN 25638 2816 NaN NaN
SR1VMTH2T2 26650 4270 NaN NaN 7235 10342 NaN NaN 25516 2956 NaN NaN 2725 18759 NaN NaN 10317 27399 NaN NaN
SR1VMTH2T3 10269 12281 NaN NaN 4783 7259 NaN NaN 28737 2730 NaN NaN 8030 8183 NaN NaN 9041 5237 NaN NaN
SR1VMTH2T4 5466 10636 NaN NaN 11909 11785 NaN NaN 12850 14826 NaN NaN 18665 17468 NaN NaN 24583 4094 NaN NaN
SR1VMTH2T5 13060 10083 NaN NaN 4344 14889 NaN NaN 22548 15052 NaN NaN 14011 12410 NaN NaN 16086 6336 NaN NaN
SR1VMTH3T1 29013 21685 17626 NaN 4198 10665 14047 NaN 8973 17888 16981 NaN 13730 10569 10180 NaN 8788 17350 8745 NaN
SR1VMTH3T2 22078 9430 8536 NaN 10672 8310 9140 NaN 11277 17631 7717 NaN 6192 17737 15431 NaN 8109 9812 5781 NaN
SR1VMTH3T3 11206 8809 12827 NaN 26025 8429 16127 NaN 16740 9006 11585 NaN 2727 12191 7926 NaN 7950 9238 19306 NaN
