SRBFTH1T1 2 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 2 NaN NaN NaN 5 NaN NaN NaN
SRBFTH1T2 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 2 NaN NaN NaN 5 NaN NaN NaN
SRBFTH1T3 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN
SRBFTH1T4 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN 5 NaN NaN NaN
SRBFTH1T5 6 NaN NaN NaN 6 NaN NaN NaN 6 NaN NaN NaN 6 NaN NaN NaN 6 NaN NaN NaN
SRBFTH2T1 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN
SRBFTH2T2 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN
SRBFTH2T3 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN
SRBFTH2T4 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN
SRBFTH2T5 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 2 NaN NaN 2 3 NaN NaN
SRBFTH3T1 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN
SRBFTH3T2 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN
SRBFTH3T3 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN 2 2 2 NaN
SRBFTH3T4 2 2 2 NaN 2 2 2 NaN 3 2 2 NaN 2 2 2 NaN 2 2 2 NaN
SRBFTH3T5 2 3 3 NaN 3 3 3 NaN 2 3 3 NaN 3 2 2 NaN 3 3 2 NaN
SRBFTH4T1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
SRBFTH4T2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
SRBFTH4T3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
SRBFTH4T4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
SRBFTH4T5 2 2 2 2 2 3 2 2 2 2 3 3 3 2 2 3 2 3 2 3
SWBFTH1T1 5 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN
SWBFTH1T2 9 NaN NaN NaN 9 NaN NaN NaN 8 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN
SWBFTH1T3 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN
SWBFTH1T4 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN 9 NaN NaN NaN
SWBFTH1T5 9 NaN NaN NaN 10 NaN NaN NaN 9 NaN NaN NaN 10 NaN NaN NaN 10 NaN NaN NaN
SWBFTH2T1 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN
SWBFTH2T2 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN
SWBFTH2T3 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN 5 5 NaN NaN
SWBFTH2T4 5 5 NaN NaN 5 5 NaN NaN 5 6 NaN NaN 5 5 NaN NaN 5 5 NaN NaN
SWBFTH2T5 5 5 NaN NaN 6 5 NaN NaN 5 5 NaN NaN 5 6 NaN NaN 5 6 NaN NaN
SWBFTH3T1 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN
SWBFTH3T2 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN
SWBFTH3T3 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN 5 5 5 NaN
